spending,xx,yy,total
housing,10,10,94%
housing,20,10,94%
housing,30,10,94%
housing,40,10,94%
housing,50,10,94%
housing,60,10,94%
housing,70,10,94%
housing,80,10,94%
housing,90,10,94%
housing,100,10,94%
housing,10,20,94%
housing,20,20,94%
housing,30,20,94%
housing,40,20,94%
housing,50,20,94%
housing,60,20,94%
housing,70,20,94%
housing,80,20,94%
housing,90,20,94%
housing,100,20,94%
housing,10,30,94%
housing,20,30,94%
housing,30,30,94%
housing,40,30,94%
housing,50,30,94%
housing,60,30,94%
housing,70,30,94%
housing,80,30,94%
housing,90,30,94%
housing,100,30,94%
housing,10,40,94%
housing,20,40,94%
housing,30,40,94%
housing,40,40,94%
housing,50,40,94%
housing,60,40,94%
housing,70,40,94%
housing,80,40,94%
housing,90,40,94%
housing,100,40,94%
housing,10,50,94%
housing,20,50,94%
housing,30,50,94%
housing,40,50,94%
housing,50,50,94%
housing,60,50,94%
housing,70,50,94%
housing,80,50,94%
housing,90,50,94%
housing,100,50,94%
housing,10,60,94%
housing,20,60,94%
housing,30,60,94%
housing,40,60,94%
housing,50,60,94%
housing,60,60,94%
housing,70,60,94%
housing,80,60,94%
housing,90,60,94%
housing,100,60,94%
housing,10,70,94%
housing,20,70,94%
housing,30,70,94%
housing,40,70,94%
housing,50,70,94%
housing,60,70,94%
housing,70,70,94%
housing,80,70,94%
housing,90,70,94%
housing,100,70,94%
housing,10,80,94%
housing,20,80,94%
housing,30,80,94%
housing,40,80,94%
housing,50,80,94%
housing,60,80,94%
housing,70,80,94%
housing,80,80,94%
housing,90,80,94%
housing,100,80,94%
housing,10,90,94%
housing,20,90,94%
housing,30,90,94%
housing,40,90,94%
housing,50,90,94%
housing,60,90,94%
housing,70,90,94%
housing,80,90,94%
housing,90,90,94%
housing,100,90,94%
housing,10,100,94%
housing,20,100,94%
housing,30,100,94%
housing,40,100,94%
food,50,100,36%
food,60,100,36%
food,70,100,36%
food,80,100,36%
food,90,100,36%
food,100,100,36%
food,10,110,36%
food,20,110,36%
food,30,110,36%
food,40,110,36%
food,50,110,36%
food,60,110,36%
food,70,110,36%
food,80,110,36%
food,90,110,36%
food,100,110,36%
food,10,120,36%
food,20,120,36%
food,30,120,36%
food,40,120,36%
food,50,120,36%
food,60,120,36%
food,70,120,36%
food,80,120,36%
food,90,120,36%
food,100,120,36%
food,10,130,36%
food,20,130,36%
food,30,130,36%
food,40,130,36%
food,50,130,36%
food,60,130,36%
food,70,130,36%
food,80,130,36%
food,90,130,36%
food,100,130,36%
transportation,10,140,37%
transportation,20,140,37%
transportation,30,140,37%
transportation,40,140,37%
transportation,50,140,37%
transportation,60,140,37%
transportation,70,140,37%
transportation,80,140,37%
transportation,90,140,37%
transportation,100,140,37%
transportation,10,150,37%
transportation,20,150,37%
transportation,30,150,37%
transportation,40,150,37%
transportation,50,150,37%
transportation,60,150,37%
transportation,70,150,37%
transportation,80,150,37%
transportation,90,150,37%
transportation,100,150,37%
transportation,10,160,37%
transportation,20,160,37%
transportation,30,160,37%
transportation,40,160,37%
transportation,50,160,37%
transportation,60,160,37%
transportation,70,160,37%
transportation,80,160,37%
transportation,90,160,37%
transportation,100,160,37%
transportation,10,170,37%
transportation,20,170,37%
transportation,40,170,37%
transportation,30,170,37%
transportation,50,170,37%
transportation,60,170,37%
transportation,70,170,37%
healthcare,80,170,23%
healthcare,90,170,23%
healthcare,100,170,23%
healthcare,10,180,23%
healthcare,20,180,23%
healthcare,30,180,23%
healthcare,40,180,23%
healthcare,50,180,23%
healthcare,60,180,23%
healthcare,70,180,23%
healthcare,80,180,23%
healthcare,90,180,23%
healthcare,100,180,23%
healthcare,10,190,23%
healthcare,20,190,23%
healthcare,30,190,23%
healthcare,40,190,23%
healthcare,50,190,23%
healthcare,60,190,23%
healthcare,70,190,23%
healthcare,80,190,23%
healthcare,90,190,23%
healthcare,100,190,23%
apparel,10,200,10%
apparel,20,200,10%
apparel,30,200,10%
apparel,40,200,10%
apparel,50,200,10%
apparel,60,200,10%
apparel,70,200,10%
apparel,80,200,10%
apparel,90,200,10%
apparel,100,200,10%
education,10,210,6%
education,20,210,6%
education,30,210,6%
education,40,210,6%
education,50,210,6%
education,60,210,6%
entertainment,70,210,10%
entertainment,80,210,10%
entertainment,90,210,10%
entertainment,100,210,10%
entertainment,10,220,10%
entertainment,20,220,10%
entertainment,30,220,10%
entertainment,40,220,10%
entertainment,50,220,10%
entertainment,60,220,10%
miscellaneous,70,220,19%
miscellaneous,80,220,19%
miscellaneous,90,220,19%
miscellaneous,100,220,19%
miscellaneous,10,230,19%
miscellaneous,20,230,19%
miscellaneous,30,230,19%
miscellaneous,40,230,19%
miscellaneous,50,230,19%
miscellaneous,60,230,19%
miscellaneous,70,230,19%
miscellaneous,80,230,19%
miscellaneous,90,230,19%
miscellaneous,100,230,19%
miscellaneous,10,240,19%
miscellaneous,20,240,19%
miscellaneous,30,240,19%
miscellaneous,40,240,19%
miscellaneous,50,240,19%